index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
248,1.11 ,0.24 ,6.00 ,0.000968350 ,0.000966180 ,0.000964090 ,0.000962030 ,0.000959960 ,0.000957890 ,0.000955930 ,0.000968950 ,0.002300810 ,0.034241480 ,0.173278950 ,0.258717890 ,0.297428710 ,0.314985530 ,0.323042500 ,0.326765030 ,0.328491870 ,0.329295270 ,0.329669960 
842,1.43 ,0.29 ,10.00 ,0.000981450 ,0.000980170 ,0.000978840 ,0.000977490 ,0.000976140 ,0.000984030 ,0.004647470 ,0.122108530 ,0.241932090 ,0.292449240 ,0.313730730 ,0.322899690 ,0.326890470 ,0.328634800 ,0.329398760 ,0.329733790 ,0.329880860 ,0.329945480 ,0.329973920 
874,1.13 ,0.16 ,8.00 ,0.000975880 ,0.000974280 ,0.000972630 ,0.000970970 ,0.000969400 ,0.001008520 ,0.007552120 ,0.130149360 ,0.242866500 ,0.291933160 ,0.313147710 ,0.322490320 ,0.326642190 ,0.328494950 ,0.329323580 ,0.329694770 ,0.329861260 ,0.329936050 ,0.329969680 
864,1.43 ,0.29 ,9.00 ,0.000979630 ,0.000978230 ,0.000976780 ,0.000975320 ,0.000973850 ,0.000972430 ,0.000995280 ,0.005707660 ,0.120900870 ,0.239579730 ,0.290892690 ,0.312836280 ,0.322413020 ,0.326633990 ,0.328502520 ,0.329331560 ,0.329699970 ,0.329863900 ,0.329936940 
408,1.22 ,0.27 ,6.00 ,0.000969320 ,0.000967140 ,0.000965090 ,0.000963060 ,0.000961040 ,0.000959010 ,0.000956950 ,0.000955010 ,0.000965410 ,0.001923290 ,0.024130920 ,0.156983970 ,0.250738240 ,0.293710940 ,0.313234460 ,0.322210750 ,0.326367930 ,0.328301570 ,0.329203770 
866,1.29 ,0.20 ,8.00 ,0.000976710 ,0.000975120 ,0.000973510 ,0.000971880 ,0.000970260 ,0.000968670 ,0.000984460 ,0.003989690 ,0.092759090 ,0.223835470 ,0.283589660 ,0.309421040 ,0.320803350 ,0.325873410 ,0.328143150 ,0.329161970 ,0.329620150 ,0.329826530 ,0.329919630 
836,1.13 ,0.27 ,6.00 ,0.000968530 ,0.000966360 ,0.000964280 ,0.000962220 ,0.000960160 ,0.000958100 ,0.000956060 ,0.000960240 ,0.001557610 ,0.018454770 ,0.146719410 ,0.246106990 ,0.291725410 ,0.312372110 ,0.321833780 ,0.326203060 ,0.328229670 ,0.329172580 ,0.329612410 
854,1.46 ,0.23 ,5.00 ,0.000966700 ,0.000963750 ,0.000961450 ,0.000959290 ,0.000957130 ,0.000954950 ,0.000952760 ,0.000950550 ,0.000948320 ,0.000946060 ,0.000943750 ,0.000941430 ,0.000940250 ,0.000975690 ,0.002023360 ,0.014375420 ,0.110497990 ,0.222063510 ,0.278844600 
825,1.45 ,0.16 ,12.00 ,0.000984300 ,0.000983210 ,0.000982060 ,0.000980900 ,0.001018010 ,0.023384090 ,0.187594910 ,0.271581260 ,0.305423050 ,0.319527520 ,0.325514580 ,0.328074160 ,0.329171420 ,0.329642360 ,0.329844630 ,0.329931560 ,0.329968940 ,0.329985040 ,0.329991980 
437,1.43 ,0.25 ,12.00 ,0.000984250 ,0.000983160 ,0.000982000 ,0.000980860 ,0.001059040 ,0.036807700 ,0.199955390 ,0.276539800 ,0.307475750 ,0.320398500 ,0.325887880 ,0.328234800 ,0.329240690 ,0.329672280 ,0.329857590 ,0.329937200 ,0.329971420 ,0.329986150 ,0.329992500 
