index,L,R,P_high,t1,t2,t3,t4,t5
754,2.25,0.32,19,0.32996882,0.32999996,0.32999997,0.32999998,0.32999998
755,3.61,0.44,14,0.32964696,0.32999951,0.32999981,0.32999983,0.32999984
756,2.49,0.41,15,0.32990202,0.32999987,0.32999992,0.32999993,0.32999994
757,6.46,0.29,10,0.32049625,0.32994521,0.32999863,0.32999886,0.32999895
758,6.24,0.3,14,0.32806872,0.32999585,0.32999951,0.32999956,0.3299996
759,9.31,0.47,14,0.32270433,0.32996811,0.32999906,0.32999919,0.32999925
760,6.63,0.16,7,0.2892366,0.3292116,0.32999285,0.32999871,0.32999881
761,4.55,0.39,14,0.32929343,0.32999891,0.32999971,0.32999974,0.32999977
762,4.83,0.44,18,0.3297153,0.32999967,0.32999987,0.32999988,0.3299999
763,2.53,0.18,20,0.32996636,0.32999996,0.32999997,0.32999998,0.32999998
764,5.87,0.25,6,0.28191172,0.32885676,0.32998977,0.32999999,0.33000005
765,5.61,0.5,19,0.32964936,0.32999961,0.32999986,0.32999988,0.32999989
766,3.06,0.4,19,0.32993511,0.32999993,0.32999995,0.32999996,0.32999996
767,1.14,0.32,19,0.32999224,0.32999999,0.32999999,0.32999999,0.32999999
768,5.65,0.41,7,0.30457919,0.32967334,0.32999713,0.32999896,0.32999903
769,4.59,0.46,16,0.329594,0.32999948,0.32999982,0.32999983,0.32999985
770,6.66,0.39,6,0.26369595,0.32772633,0.32997351,0.32999987,0.33000004
771,9.78,0.48,14,0.32139717,0.32995822,0.32999897,0.32999913,0.32999919
772,3.21,0.34,16,0.32985376,0.32999982,0.3299999,0.32999991,0.32999992
773,1.01,0.11,20,0.32999469,0.32999999,0.32999999,0.33,0.33
774,9.6,0.15,18,0.32746235,0.32999447,0.3299996,0.32999963,0.32999966
775,2.13,0.42,10,0.32969089,0.32999952,0.3299998,0.32999982,0.32999984
776,3.81,0.29,17,0.32981658,0.32999978,0.32999989,0.3299999,0.32999991
777,6.31,0.33,19,0.32949602,0.3299994,0.32999983,0.32999985,0.32999986
778,9.52,0.47,6,0.21105239,0.31444781,0.32957885,0.32999423,0.32999996
779,3.1,0.29,10,0.32908506,0.32999827,0.32999961,0.32999964,0.32999968
780,4.2,0.36,13,0.32923605,0.32999875,0.32999968,0.32999971,0.32999974
781,4.88,0.17,16,0.32950929,0.32999935,0.32999979,0.32999982,0.32999983
782,5.47,0.43,5,0.2621709,0.32747837,0.32996964,0.33000327,0.33000338
783,6.19,0.46,8,0.30959286,0.32978672,0.32999757,0.32999861,0.32999871
784,2.65,0.47,18,0.3299441,0.32999993,0.32999996,0.32999996,0.32999997
785,6.26,0.11,12,0.32611251,0.32998757,0.32999922,0.3299993,0.32999936
786,1.14,0.11,15,0.32998369,0.32999997,0.32999998,0.32999998,0.32999999
787,5.58,0.16,9,0.32085984,0.32994718,0.32999867,0.3299989,0.32999899
788,3.61,0.38,5,0.30853726,0.32973207,0.33000076,0.3300022,0.33000205
789,7.34,0.11,18,0.32895745,0.32999844,0.32999974,0.32999976,0.32999978
790,8.44,0.44,6,0.22575233,0.32173062,0.32983336,0.32999824,0.33000002
791,8.62,0.26,19,0.32862611,0.32999779,0.32999972,0.32999975,0.32999977
792,3.65,0.36,13,0.32950082,0.32999925,0.32999975,0.32999977,0.3299998
793,4.5,0.36,19,0.32981684,0.3299998,0.32999991,0.32999992,0.32999993
794,6.33,0.38,9,0.31624772,0.32989535,0.32999824,0.32999869,0.32999878
795,3.54,0.38,15,0.32975056,0.32999967,0.32999985,0.32999987,0.32999988
796,9.02,0.45,17,0.32731569,0.32999383,0.32999955,0.32999959,0.32999963
797,8.42,0.49,14,0.3247864,0.3299814,0.32999921,0.3299993,0.32999935
798,2.44,0.19,7,0.32811847,0.32999498,0.32999968,0.32999971,0.32999974
799,8.82,0.17,6,0.21974137,0.31955756,0.32976609,0.32999729,0.33000001
800,9.15,0.31,9,0.28737508,0.32918726,0.32999206,0.3299979,0.32999804
801,7.77,0.25,15,0.32709231,0.32999265,0.32999945,0.3299995,0.32999954
802,4.19,0.11,11,0.32844341,0.32999661,0.32999948,0.32999953,0.32999958
803,3.48,0.43,19,0.32990854,0.3299999,0.32999994,0.32999995,0.32999995
804,6.97,0.31,18,0.32911687,0.32999875,0.32999976,0.32999978,0.3299998
805,1.97,0.17,19,0.32997643,0.32999997,0.32999998,0.32999998,0.32999998
806,3.32,0.36,8,0.32716896,0.32999117,0.32999939,0.32999946,0.32999951
807,6.21,0.21,11,0.32445822,0.32997777,0.32999901,0.32999913,0.3299992
808,3.27,0.23,20,0.32993675,0.32999993,0.32999996,0.32999996,0.32999997
809,6.48,0.19,5,0.23467242,0.32375776,0.32988161,0.33000262,0.33000394
810,6.61,0.16,17,0.32903621,0.32999854,0.32999973,0.32999975,0.32999978
811,5.84,0.17,11,0.32546218,0.32998372,0.32999911,0.32999921,0.32999927
812,3.58,0.32,17,0.32984655,0.32999981,0.3299999,0.32999992,0.32999992
813,3,0.42,5,0.31785374,0.32989929,0.3300014,0.3300017,0.33000157
814,1.43,0.35,9,0.32983122,0.32999974,0.32999987,0.32999989,0.3299999
815,2.67,0.26,13,0.32979584,0.32999971,0.32999985,0.32999987,0.32999988
816,7.37,0.17,19,0.32917563,0.32999888,0.32999979,0.32999981,0.32999982
817,1.71,0.27,11,0.32987896,0.32999982,0.32999989,0.3299999,0.32999991
818,7.32,0.5,19,0.32919377,0.32999892,0.32999979,0.32999981,0.32999983
819,9.35,0.26,6,0.21289621,0.31580618,0.32963164,0.32999512,0.32999998
820,6.8,0.1,8,0.3027123,0.32964093,0.32999641,0.32999843,0.32999854
821,1.47,0.21,17,0.32998114,0.32999998,0.32999998,0.32999998,0.32999999
822,4.23,0.4,14,0.32943283,0.32999917,0.32999974,0.32999977,0.32999979
823,6.73,0.37,17,0.32897779,0.32999842,0.32999972,0.32999975,0.32999977
824,4.2,0.48,11,0.32843137,0.32999658,0.32999948,0.32999953,0.32999958
825,5.99,0.11,16,0.32907072,0.32999857,0.32999971,0.32999974,0.32999976
826,8.18,0.26,17,0.32806338,0.32999619,0.32999961,0.32999965,0.32999968
827,9.79,0.44,12,0.31305993,0.32986172,0.32999809,0.32999867,0.32999875
828,2.45,0.11,17,0.32994193,0.32999992,0.32999995,0.32999996,0.32999996
829,7.24,0.4,19,0.32922216,0.32999897,0.32999979,0.32999981,0.32999983
830,2.69,0.26,16,0.32990848,0.32999989,0.32999993,0.32999994,0.32999994
831,5.83,0.34,5,0.25191743,0.32646198,0.32994927,0.33000324,0.3300036
832,2.7,0.12,20,0.32996057,0.32999995,0.32999997,0.32999997,0.32999998
833,4.1,0.1,20,0.32988572,0.32999988,0.32999994,0.32999994,0.32999995
834,9.29,0.47,11,0.30940413,0.32980032,0.32999756,0.32999848,0.32999857
835,1.87,0.36,6,0.32846765,0.32999629,0.33000002,0.33000002,0.33000002
836,9.88,0.34,18,0.32719976,0.32999358,0.32999958,0.32999962,0.32999965
837,4.12,0.17,14,0.32947735,0.32999924,0.32999976,0.32999978,0.3299998
838,8.54,0.33,16,0.32704079,0.32999266,0.32999949,0.32999954,0.32999957
839,4.3,0.28,19,0.32983817,0.32999983,0.32999991,0.32999992,0.32999993
840,9.48,0.3,18,0.327564,0.32999479,0.3299996,0.32999964,0.32999967
841,6.99,0.37,10,0.31772283,0.32991606,0.32999838,0.32999873,0.32999882
842,1.56,0.42,9,0.32980135,0.3299997,0.32999986,0.32999987,0.32999989
843,1.96,0.11,20,0.3299805,0.32999998,0.32999998,0.32999999,0.32999999
844,5.66,0.37,13,0.32804099,0.32999564,0.32999948,0.32999953,0.32999957
845,3.49,0.48,20,0.32992485,0.32999992,0.32999995,0.32999996,0.32999996
846,6.9,0.41,20,0.32947073,0.32999939,0.32999984,0.32999986,0.32999987
847,3.18,0.16,5,0.31539362,0.32986147,0.33000132,0.33000185,0.33000171
848,1.62,0.1,13,0.3299431,0.32999991,0.32999994,0.32999995,0.32999995
849,4.75,0.33,20,0.32982738,0.32999982,0.32999992,0.32999993,0.32999993
850,7.01,0.23,6,0.25547015,0.32699657,0.32996094,0.32999976,0.33000004
851,2.46,0.37,20,0.32996792,0.32999996,0.32999997,0.32999998,0.32999998
852,3.41,0.22,10,0.32876455,0.32999743,0.32999954,0.32999958,0.32999963
853,3.2,0.31,15,0.32981144,0.32999976,0.32999988,0.32999989,0.3299999
854,8.79,0.27,19,0.32853279,0.32999757,0.32999971,0.32999974,0.32999976
855,6.61,0.43,5,0.23158325,0.32310721,0.32986376,0.3300024,0.33000399
856,6.14,0.2,12,0.32635593,0.32998875,0.32999924,0.32999932,0.32999938
857,6.45,0.34,16,0.32882307,0.32999804,0.32999967,0.3299997,0.32999973
858,6.73,0.36,15,0.3281915,0.32999634,0.32999956,0.32999961,0.32999964
859,6.11,0.5,11,0.32475038,0.32997962,0.32999904,0.32999915,0.32999922
860,4.02,0.17,14,0.32951551,0.32999931,0.32999977,0.32999979,0.32999981
861,1.61,0.1,20,0.32998731,0.32999998,0.32999999,0.32999999,0.32999999
862,7.78,0.22,12,0.32203143,0.32996126,0.32999886,0.32999903,0.3299991
863,2.15,0.36,17,0.32995818,0.32999995,0.32999996,0.32999997,0.32999997
864,8.81,0.11,15,0.3255716,0.32998599,0.32999932,0.3299994,0.32999944
865,4.48,0.11,15,0.32949716,0.32999931,0.32999978,0.3299998,0.32999982
866,5.63,0.2,5,0.25764362,0.32708199,0.32996227,0.33000328,0.33000348
867,4.29,0.49,5,0.29420674,0.32932141,0.32999732,0.33000271,0.33000257
868,8.62,0.42,8,0.27609564,0.32865131,0.32998608,0.32999789,0.32999805
869,1.17,0.24,5,0.32922952,0.32999898,0.33000042,0.33000038,0.33000034
870,5.56,0.48,8,0.31546602,0.32988156,0.32999828,0.32999881,0.32999889
871,9.57,0.46,11,0.30738768,0.32976434,0.32999729,0.32999842,0.32999851
872,4.95,0.11,20,0.3298052,0.3299998,0.32999991,0.32999992,0.32999993
873,8.93,0.48,6,0.21817735,0.31883944,0.32974179,0.32999691,0.33
874,8.05,0.18,5,0.20736059,0.31082213,0.32937675,0.32999219,0.33000431
875,3.52,0.35,13,0.32955316,0.32999934,0.32999976,0.32999979,0.32999981
876,2,0.28,13,0.32990553,0.32999986,0.32999991,0.32999992,0.32999993
877,3.39,0.22,12,0.32943449,0.3299991,0.32999972,0.32999974,0.32999977
878,2.21,0.43,14,0.32990709,0.32999987,0.32999992,0.32999993,0.32999994
879,3.41,0.42,19,0.32991344,0.3299999,0.32999994,0.32999995,0.32999996
880,7.93,0.3,9,0.30206912,0.32963578,0.32999621,0.32999823,0.32999835
881,3.91,0.25,11,0.32873954,0.32999745,0.32999954,0.32999959,0.32999963
882,2.82,0.2,15,0.32986568,0.32999982,0.3299999,0.32999991,0.32999992
883,8.69,0.29,17,0.32762976,0.32999487,0.32999957,0.32999961,0.32999965
884,5.32,0.47,11,0.32665148,0.32998977,0.32999924,0.32999932,0.32999937
885,3.84,0.46,20,0.3299038,0.3299999,0.32999994,0.32999995,0.32999995
886,6.21,0.35,16,0.32896041,0.32999834,0.32999969,0.32999972,0.32999975
887,7.63,0.22,15,0.3272654,0.3299933,0.32999947,0.32999952,0.32999956
888,5.63,0.43,13,0.32807504,0.32999574,0.32999948,0.32999953,0.32999957
889,2.28,0.23,10,0.32962276,0.32999939,0.32999977,0.32999979,0.32999982
890,1.13,0.25,18,0.32999099,0.32999999,0.32999999,0.32999999,0.32999999
891,5.38,0.29,5,0.26478488,0.32769982,0.32997374,0.33000326,0.33000333
892,6.04,0.12,8,0.3111216,0.32981425,0.32999778,0.32999866,0.32999875
893,9.44,0.3,15,0.32440937,0.32997973,0.32999925,0.32999933,0.32999938
894,6.41,0.41,18,0.32932391,0.32999911,0.32999979,0.32999981,0.32999983
895,4.85,0.49,15,0.32936109,0.32999907,0.32999975,0.32999977,0.32999979
896,4.71,0.48,9,0.32470687,0.32997795,0.32999903,0.32999915,0.32999922
897,1.88,0.33,20,0.32998224,0.32999998,0.32999998,0.32999999,0.32999999
898,3.64,0.25,6,0.31850797,0.32991282,0.32999972,0.33000004,0.33000004
899,1.16,0.21,12,0.32996441,0.32999994,0.32999996,0.32999996,0.32999997
900,8.1,0.17,12,0.32090438,0.32995192,0.32999877,0.32999897,0.32999905
901,7.19,0.5,6,0.25127471,0.32653974,0.32995219,0.32999967,0.33000004
902,3.45,0.39,13,0.32957362,0.32999937,0.32999977,0.32999979,0.32999982
903,4.79,0.25,16,0.32953687,0.32999939,0.3299998,0.32999982,0.32999984
904,7.43,0.45,17,0.32858801,0.32999757,0.32999967,0.3299997,0.32999973
905,3.58,0.38,20,0.32992049,0.32999991,0.32999995,0.32999996,0.32999996
906,9.44,0.26,5,0.19850953,0.2887794,0.32791633,0.32994531,0.33000312
907,7.94,0.19,10,0.3115191,0.32983072,0.32999773,0.32999849,0.32999859
908,2.78,0.14,10,0.32933398,0.32999883,0.32999967,0.32999971,0.32999974
909,2.63,0.3,17,0.32993181,0.32999992,0.32999995,0.32999995,0.32999996
910,7.88,0.28,17,0.32828707,0.3299968,0.32999964,0.32999967,0.3299997
