,index,L,R,P_high,t1,t2,t3,t4,t5
687,781,9.83,0.49,18,0.20580814,0.22616303,0.25209843,0.27600215,0.29455786
688,921,2.56,0.39,6,0.20813559,0.22769679,0.251177,0.27326392,0.29117328
689,265,8.98,0.29,17,0.20678656,0.22781622,0.25382162,0.27742774,0.29560192
690,757,7.85,0.11,10,0.19907114,0.20206019,0.20985666,0.2232861,0.24095019
691,625,9.32,0.33,6,0.19787552,0.19737409,0.19705367,0.1969101,0.19703167
692,352,7.64,0.23,18,0.21730221,0.24704618,0.27453274,0.2950839,0.30890379
693,855,8.29,0.42,5,0.197416,0.19674299,0.19628709,0.19600001,0.19589715
694,980,2.53,0.19,14,0.26867043,0.29642963,0.31224677,0.32083045,0.32534881
695,390,8.36,0.2,5,0.19743196,0.1967574,0.19629859,0.19600548,0.19588864
696,782,9.2,0.33,11,0.19905516,0.20128127,0.20774905,0.2197094,0.23637065
697,561,9.16,0.15,8,0.19829201,0.19815067,0.1986342,0.20040318,0.20438563
698,964,7.58,0.35,8,0.19823963,0.19875915,0.20115554,0.20673245,0.21644798
699,384,1.91,0.4,8,0.24275424,0.27348549,0.29551038,0.30973969,0.31841604
700,409,9.95,0.32,8,0.19835039,0.19810537,0.19823199,0.19912596,0.2014632
701,630,6.18,0.49,8,0.19857774,0.20126681,0.20828785,0.22054992,0.23712135
702,534,9.99,0.19,15,0.2010918,0.21081347,0.22872722,0.2508474,0.27220324
703,267,2.31,0.37,8,0.23084229,0.26087756,0.28521831,0.30233258,0.31346331
704,764,6.42,0.35,15,0.21525351,0.24247975,0.26942769,0.29067599,0.3055637
705,535,8.99,0.16,20,0.21476664,0.24426462,0.27231705,0.29355307,0.30792444
706,577,9.75,0.34,20,0.21059354,0.23728717,0.26532026,0.2878984,0.30383848
707,572,6.15,0.38,8,0.19859555,0.20136352,0.20852914,0.22096534,0.23767408
708,788,7.69,0.22,9,0.19861367,0.20015161,0.20497713,0.21448371,0.22873731
709,192,7.77,0.37,8,0.19823583,0.19861811,0.20065206,0.20557715,0.21442721
710,319,4.49,0.28,8,0.20186805,0.21293977,0.23086647,0.2520374,0.27237215
711,125,8.54,0.46,14,0.2023567,0.21485531,0.23517504,0.25810934,0.27887796
712,394,8.72,0.46,10,0.19879951,0.20029037,0.20509514,0.21468561,0.22913013
713,919,2.89,0.28,11,0.24114555,0.27269465,0.29530089,0.30981365,0.3185867
714,156,1.6,0.41,19,0.3041933,0.31845315,0.32487845,0.32774469,0.32901292
715,185,1.3,0.45,15,0.30032842,0.31629514,0.32373677,0.32716206,0.32872327
716,358,3.16,0.33,5,0.19791235,0.20393411,0.21577752,0.23254617,0.25164597
717,517,8.23,0.37,10,0.19891906,0.20114904,0.20750509,0.21919604,0.23552817
718,573,8.85,0.14,11,0.19916897,0.20201432,0.20968127,0.22309349,0.24085387
719,702,9.85,0.26,12,0.19924743,0.202013,0.20967183,0.22320741,0.24116251
720,258,3.09,0.26,9,0.22183272,0.24993456,0.27554232,0.29498947,0.30835668
721,740,3.77,0.3,5,0.19677556,0.19916322,0.20549524,0.21655754,0.23178322
722,792,5,0.4,20,0.25484832,0.28688023,0.30637261,0.31743664,0.32346871
723,949,1.6,0.23,20,0.30608589,0.3194352,0.32536878,0.32798294,0.32912634
