index,L,R,P_high,t1,t2,t3,t4,t5
93,9.84,0.33,10,0.00099722,0.00099711,0.00099701,0.00099694,0.00099687
726,5.37,0.32,18,0.0009936,0.00099353,0.00099347,0.0009934,0.00099333
857,4.56,0.26,6,0.00098905,0.00098888,0.00098871,0.00098854,0.00098838
676,7.94,0.42,20,0.0009956,0.00099555,0.00099549,0.00099543,0.00099538
652,2.14,0.15,12,0.00098632,0.00098622,0.00098612,0.00098601,0.00098591
112,5.58,0.23,5,0.00099088,0.00099069,0.0009905,0.00099032,0.00099014
537,1.75,0.15,18,0.00098964,0.00098957,0.0009895,0.00098942,0.00098934
304,4.55,0.24,15,0.00099216,0.00099208,0.000992,0.00099192,0.00099184
862,8.83,0.31,18,0.00099608,0.00099602,0.00099596,0.0009959,0.00099584
667,9.24,0.2,9,0.00099684,0.00099672,0.00099663,0.00099655,0.00099649
413,8.73,0.47,8,0.00099639,0.00099628,0.00099619,0.00099613,0.00099606
936,3.63,0.26,5,0.00098423,0.00098398,0.00098374,0.0009835,0.00098326
526,6.96,0.29,18,0.00099487,0.0009948,0.00099474,0.00099468,0.00099462
40,2.22,0.48,6,0.00097769,0.00097747,0.00097725,0.00097704,0.00097683
527,2.23,0.36,17,0.0009898,0.00098973,0.00098965,0.00098957,0.00098949
525,6.56,0.34,12,0.00099416,0.00099408,0.000994,0.00099392,0.00099383
690,5,0.23,9,0.0009914,0.00099129,0.00099118,0.00099107,0.00099095
405,2.28,0.3,16,0.00098935,0.00098928,0.0009892,0.00098911,0.00098903
107,4.52,0.49,16,0.00099237,0.0009923,0.00099222,0.00099215,0.00099207
725,8.87,0.33,15,0.00099618,0.0009961,0.00099603,0.00099597,0.0009959
863,4.42,0.43,20,0.00099315,0.00099309,0.00099303,0.00099296,0.0009929
728,3.67,0.31,11,0.00098926,0.00098916,0.00098906,0.00098895,0.00098884
114,9.65,0.38,7,0.00099694,0.00099681,0.00099672,0.00099664,0.00099658
48,8.86,0.14,16,0.00099614,0.00099607,0.000996,0.00099593,0.00099587
542,5.82,0.4,19,0.00099411,0.00099405,0.00099399,0.00099393,0.00099386
486,9.98,0.43,10,0.0009973,0.0009972,0.0009971,0.00099702,0.00099696
9,7.32,0.38,20,0.00099524,0.00099518,0.00099512,0.00099506,0.00099501
323,2.86,0.35,19,0.0009914,0.00099133,0.00099126,0.00099119,0.00099112
113,9.57,0.31,5,0.00099593,0.00099578,0.00099563,0.00099549,0.00099535
679,2.03,0.24,20,0.00099091,0.00099084,0.00099077,0.0009907,0.00099063
124,6.95,0.12,17,0.00099479,0.00099473,0.00099466,0.0009946,0.00099453
262,5.22,0.39,12,0.00099239,0.0009923,0.00099222,0.00099213,0.00099203
850,7.79,0.32,9,0.00099552,0.00099543,0.00099535,0.00099527,0.0009952
56,4.96,0.35,13,0.0009922,0.00099212,0.00099203,0.00099195,0.00099186
53,6.73,0.19,9,0.00099427,0.00099418,0.00099409,0.000994,0.00099391
263,4.86,0.46,9,0.00099107,0.00099096,0.00099085,0.00099073,0.00099062
695,5.78,0.15,6,0.00099208,0.00099194,0.0009918,0.00099167,0.00099153
734,8.28,0.14,12,0.00099588,0.00099579,0.00099571,0.00099564,0.00099557
624,3.98,0.41,19,0.00099253,0.00099246,0.0009924,0.00099233,0.00099226
540,2.53,0.19,5,0.00097738,0.00097709,0.00097681,0.00097654,0.00097628
511,2.86,0.33,12,0.00098801,0.00098791,0.00098781,0.00098771,0.00098761
613,6.94,0.17,10,0.00099455,0.00099446,0.00099438,0.00099429,0.00099421
541,5.32,0.25,5,0.00099023,0.00099003,0.00098984,0.00098965,0.00098947
851,8.32,0.29,12,0.00099591,0.00099582,0.00099574,0.00099567,0.0009956
208,7.43,0.49,12,0.00099508,0.000995,0.00099492,0.00099485,0.00099477
467,1.08,0.41,9,0.00097817,0.00097804,0.0009779,0.00097776,0.00097762
313,9.32,0.25,6,0.00099634,0.00099622,0.00099612,0.00099604,0.00099595
942,1.79,0.37,10,0.00098295,0.00098283,0.00098271,0.00098258,0.00098246
20,6.16,0.49,8,0.00099335,0.00099325,0.00099315,0.00099305,0.00099294
334,7.11,0.32,20,0.00099511,0.00099505,0.000995,0.00099494,0.00099488
735,2.61,0.32,7,0.0009821,0.00098193,0.00098175,0.00098158,0.00098141
732,8.06,0.42,17,0.0009956,0.00099554,0.00099547,0.00099541,0.00099535
738,6.21,0.3,15,0.000994,0.00099392,0.00099385,0.00099378,0.0009937
650,8.09,0.19,6,0.00099532,0.00099522,0.00099512,0.00099503,0.00099493
639,1.89,0.33,9,0.0009818,0.00098166,0.00098153,0.00098139,0.00098126
816,8.04,0.1,11,0.00099572,0.00099563,0.00099555,0.00099547,0.0009954
736,2.82,0.42,20,0.00099169,0.00099163,0.00099156,0.0009915,0.00099143
730,9.08,0.24,14,0.00099638,0.0009963,0.00099622,0.00099615,0.00099609
684,2.71,0.28,6,0.00098089,0.00098067,0.00098046,0.00098025,0.00098006
250,7.59,0.32,12,0.00099525,0.00099517,0.00099509,0.00099502,0.00099494
21,4.01,0.42,16,0.00099177,0.00099169,0.00099161,0.00099154,0.00099146
266,2.28,0.21,19,0.00099076,0.00099069,0.00099062,0.00099055,0.00099047
440,2.27,0.12,18,0.00099032,0.00099025,0.00099018,0.0009901,0.00099003
817,7.19,0.1,5,0.0009936,0.00099345,0.0009933,0.00099315,0.00099299
209,8.13,0.24,10,0.00099585,0.00099575,0.00099567,0.0009956,0.00099552
943,3.91,0.3,9,0.00098878,0.00098865,0.00098853,0.00098841,0.00098829
509,7.71,0.22,7,0.00099527,0.00099517,0.00099509,0.00099501,0.00099492
691,2.4,0.18,7,0.00098088,0.0009807,0.00098052,0.00098035,0.00098018
51,3.09,0.46,7,0.00098439,0.00098422,0.00098406,0.00098389,0.00098373
546,1.02,0.23,15,0.00098648,0.0009864,0.00098631,0.00098622,0.00098614
460,9.19,0.33,19,0.00099628,0.00099622,0.00099616,0.0009961,0.00099605
475,6.79,0.21,14,0.00099449,0.00099441,0.00099434,0.00099427,0.00099419
547,3.81,0.33,11,0.00098955,0.00098945,0.00098934,0.00098924,0.00098914
272,7.3,0.31,15,0.00099499,0.00099492,0.00099485,0.00099478,0.00099471
544,4.51,0.43,14,0.00099185,0.00099177,0.00099168,0.0009916,0.00099151
880,2.01,0.23,19,0.00099047,0.0009904,0.00099033,0.00099026,0.00099019
554,1.64,0.38,20,0.00099047,0.0009904,0.00099033,0.00099026,0.00099019
739,9.27,0.46,9,0.00099686,0.00099674,0.00099665,0.00099657,0.00099651
685,4.94,0.31,10,0.00099148,0.00099138,0.00099128,0.00099117,0.00099107
236,1.63,0.34,17,0.00098895,0.00098887,0.00098879,0.00098871,0.00098863
336,9.22,0.18,20,0.00099629,0.00099623,0.00099618,0.00099612,0.00099607
811,9.69,0.27,12,0.00099695,0.00099686,0.00099677,0.0009967,0.00099663
632,6.12,0.43,7,0.00099311,0.00099299,0.00099288,0.00099277,0.00099266
502,3.77,0.13,19,0.00099234,0.00099227,0.0009922,0.00099214,0.00099207
64,5.22,0.39,14,0.00099276,0.00099269,0.00099261,0.00099252,0.00099244
651,3.07,0.35,17,0.00099094,0.00099086,0.00099079,0.00099071,0.00099063
423,6.06,0.47,5,0.00099186,0.00099169,0.00099151,0.00099134,0.00099117
619,7.61,0.5,5,0.00099412,0.00099397,0.00099383,0.00099368,0.00099353
426,1.06,0.29,18,0.00098873,0.00098869,0.00098874,0.00098914,0.0009909
556,5.2,0.34,12,0.00099236,0.00099228,0.00099219,0.0009921,0.00099201
560,2.58,0.42,15,0.00098932,0.00098924,0.00098915,0.00098907,0.00098898
854,9.06,0.19,9,0.0009967,0.00099659,0.0009965,0.00099642,0.00099636
948,4.04,0.24,13,0.00099083,0.00099074,0.00099065,0.00099056,0.00099047
932,4.44,0.14,12,0.00099113,0.00099104,0.00099095,0.00099085,0.00099076
203,4.77,0.25,13,0.00099194,0.00099186,0.00099177,0.00099168,0.0009916
545,8.31,0.36,13,0.00099585,0.00099577,0.00099569,0.00099562,0.00099555
717,6.25,0.13,19,0.00099444,0.00099438,0.00099432,0.00099426,0.00099419
881,3.9,0.31,14,0.00099093,0.00099085,0.00099077,0.00099068,0.00099059
4,8.78,0.29,20,0.00099607,0.00099601,0.00099595,0.0009959,0.00099584
25,4.75,0.47,6,0.00098959,0.00098942,0.00098925,0.00098909,0.00098894
904,3.35,0.14,6,0.00098428,0.00098408,0.00098387,0.00098368,0.00098349
635,7.67,0.3,18,0.00099537,0.0009953,0.00099524,0.00099518,0.00099512
271,4.29,0.11,13,0.00099121,0.00099112,0.00099104,0.00099095,0.00099086
826,9.1,0.29,9,0.00099673,0.00099662,0.00099653,0.00099645,0.00099639
494,9.64,0.29,15,0.00099667,0.0009966,0.00099653,0.00099646,0.0009964
65,8.15,0.4,15,0.00099567,0.00099559,0.00099553,0.00099546,0.00099539
479,6.36,0.19,16,0.00099423,0.00099416,0.00099409,0.00099402,0.00099395
213,8.58,0.15,6,0.00099577,0.00099566,0.00099557,0.00099548,0.00099538
231,9.83,0.46,11,0.00099713,0.00099704,0.00099694,0.00099687,0.0009968
84,3.74,0.14,7,0.00098698,0.00098682,0.00098666,0.0009865,0.00098635
859,2.34,0.12,19,0.00099082,0.00099075,0.00099068,0.00099061,0.00099054
513,5.25,0.2,6,0.00099091,0.00099076,0.00099061,0.00099046,0.00099031
427,1.31,0.43,5,0.00096495,0.00096462,0.00096431,0.00096401,0.00096372
952,3.39,0.47,15,0.00099055,0.00099047,0.00099039,0.00099031,0.00099022
626,9.91,0.36,15,0.00099682,0.00099676,0.00099669,0.00099662,0.00099655
340,9.63,0.19,14,0.00099674,0.00099666,0.00099658,0.00099651,0.00099645
742,1.15,0.38,20,0.00098992,0.00098991,0.00099011,0.00099114,0.00099561
503,7.12,0.15,10,0.00099478,0.00099469,0.00099461,0.00099453,0.00099444
754,1.43,0.42,10,0.00098145,0.00098133,0.00098121,0.00098108,0.00098096
