,index,results
20,842.pickle,"1.43, 0.29, 10, 0.00098145, 0.00098017, 0.00097884, 0.00097749, 0.00097614,       0.00098403, 0.00464747, 0.12210853, 0.24193209, 0.29244924,       0.31373073, 0.32289969, 0.32689047, 0.3286348 , 0.32939876,       0.32973379, 0.32988086, 0.32994548, 0.32997392"
21,874.pickle,"1.13, 0.16, 8, 0.00097588, 0.00097428, 0.00097263, 0.00097097, 0.0009694 ,       0.00100852, 0.00755212, 0.13014936, 0.2428665 , 0.29193316,       0.31314771, 0.32249032, 0.32664219, 0.32849495, 0.32932358,       0.32969477, 0.32986126, 0.32993605, 0.32996968"
22,864.pickle,"1.43, 0.29, 9, 0.00097963, 0.00097823, 0.00097678, 0.00097532, 0.00097385,       0.00097243, 0.00099528, 0.00570766, 0.12090087, 0.23957973,       0.29089269, 0.31283628, 0.32241302, 0.32663399, 0.32850252,       0.32933156, 0.32969997, 0.3298639 , 0.32993694"
23,408.pickle,"1.22, 0.27, 6, 0.00096932, 0.00096714, 0.00096509, 0.00096306, 0.00096104,       0.00095901, 0.00095695, 0.00095501, 0.00096541, 0.00192329,       0.02413092, 0.15698397, 0.25073824, 0.29371094, 0.31323446,       0.32221075, 0.32636793, 0.32830157, 0.32920377"
24,866.pickle,"1.29, 0.2, 8, 0.00097671, 0.00097512, 0.00097351, 0.00097188, 0.00097026,       0.00096867, 0.00098446, 0.00398969, 0.09275909, 0.22383547,       0.28358966, 0.30942104, 0.32080335, 0.32587341, 0.32814315,       0.32916197, 0.32962015, 0.32982653, 0.32991963"
25,836.pickle,"1.13, 0.27, 6, 0.00096853, 0.00096636, 0.00096428, 0.00096222, 0.00096016,       0.0009581 , 0.00095606, 0.00096024, 0.00155761, 0.01845477,       0.14671941, 0.24610699, 0.29172541, 0.31237211, 0.32183378,       0.32620306, 0.32822967, 0.32917258, 0.32961241"
26,854.pickle,"1.46, 0.23, 5, 0.0009667 , 0.00096375, 0.00096145, 0.00095929, 0.00095713,       0.00095495, 0.00095276, 0.00095055, 0.00094832, 0.00094606,       0.00094375, 0.00094143, 0.00094025, 0.00097569, 0.00202336,       0.01437542, 0.11049799, 0.22206351, 0.2788446 "
27,825.pickle,"1.45, 0.16, 12, 0.0009843 , 0.00098321, 0.00098206, 0.0009809 , 0.00101801,       0.02338409, 0.18759491, 0.27158126, 0.30542305, 0.31952752,       0.32551458, 0.32807416, 0.32917142, 0.32964236, 0.32984463,       0.32993156, 0.32996894, 0.32998504, 0.32999198"
28,437.pickle,"1.43, 0.25, 12, 0.00098425, 0.00098316, 0.000982  , 0.00098086, 0.00105904,       0.0368077 , 0.19995539, 0.2765398 , 0.30747575, 0.3203985 ,       0.32588788, 0.3282348 , 0.32924069, 0.32967228, 0.32985759,       0.3299372 , 0.32997142, 0.32998615, 0.3299925 "
29,875.pickle,"1.24, 0.27, 16, 0.00098762, 0.00098679, 0.00271919, 0.15033335, 0.26026264,       0.30188376, 0.31844727, 0.32522085, 0.32801841, 0.32917758,       0.3296583 , 0.32985768, 0.32994036, 0.32997465, 0.32998886,       0.32999476, 0.32999721, 0.32999824, 0.32999867"
30,225.pickle,"1.06, 0.2, 8, 0.00097551, 0.0009739 , 0.00097223, 0.00097056, 0.00097069,       0.0017806 , 0.05359609, 0.20189454, 0.27455231, 0.30562546,       0.3191853 , 0.32518054, 0.32784674, 0.32903577, 0.32956693,       0.32980454, 0.32991094, 0.32995865, 0.32998007"
31,880.pickle,"1.1, 0.13, 10, 0.00098032, 0.00097901, 0.00097762, 0.00097925, 0.00398234,       0.12422879, 0.24389066, 0.29355962, 0.31432442, 0.32320931,       0.32704935, 0.32871554, 0.32943969, 0.3297547 , 0.32989182,       0.32995155, 0.32997759, 0.32998895, 0.32999391"
32,38.pickle,"1.5, 0.2, 16, 0.00098814, 0.00098727, 0.00098641, 0.00477803, 0.17035804,       0.26783701, 0.30485018, 0.31964988, 0.32571432, 0.32822141,       0.32926092, 0.32969233, 0.3298714 , 0.32994573, 0.3299766 ,       0.3299894 , 0.32999473, 0.32999696, 0.32999789"
33,808.pickle,"1.6, 0.3, 20, 0.00099043, 0.00098971, 0.00185877, 0.15891765, 0.2653903 ,       0.30442237, 0.31966946, 0.32579847, 0.32828722, 0.3293011 ,       0.3297145 , 0.32988307, 0.3299518 , 0.32997981, 0.32999123,       0.32999589, 0.32999779, 0.32999857, 0.3299989 "
